date,HuoD,XiD,FaD
2010-11-30,0.865307548,1.151034287,0.905752806
2010-12-01,0.88403706,1.142576388,0.9250199
2010-12-02,0.883882559,1.176407822,0.924665901
2010-12-03,0.878674432,1.203319079,0.924541851
2010-12-06,0.87039912,1.188325663,0.915806888
2010-12-07,0.872167128,1.216005814,0.917270304
2010-12-08,0.865241551,1.206779021,0.910894481
2010-12-09,0.856558403,1.17640774,0.900818212
2010-12-10,0.868909452,1.209854613,0.912514466
2010-12-13,0.886885107,1.324419835,0.933619432
2010-12-14,0.893712884,1.309041923,0.939304144
2010-12-15,0.891648323,1.308273012,0.936238211
2010-12-16,0.890451349,1.276748358,0.932788904
2010-12-17,0.888349114,1.292510685,0.931226197
2010-12-20,0.874932216,1.25714161,0.915656193
2010-12-21,0.887883654,1.27559505,0.928389847
2010-12-22,0.885630398,1.263677144,0.924886252
2010-12-23,0.869471788,1.234074692,0.910562249
2010-12-24,0.861323795,1.198705683,0.900389415
2010-12-27,0.844334674,1.155263204,0.882835671
2010-12-28,0.827451072,1.148343256,0.866141407
2010-12-29,0.824720668,1.14911215,0.868914133
2010-12-30,0.82089919,1.169103394,0.865833408
2010-12-31,0.834013393,1.257141856,0.879964387
2011-01-04,0.837761481,1.341720212,0.885355525
2011-01-05,0.834679508,1.29866205,0.883797119
2011-01-06,0.834904029,1.302122057,0.885008816
2011-01-07,0.835015039,1.245608511,0.885314298
2011-01-10,0.820139569,1.21908157,0.871264095
2011-01-11,0.818613968,1.231768468,0.872896406
2011-01-12,0.823443019,1.214852833,0.877248519
2011-01-13,0.823084166,1.22446404,0.874112877
2011-01-14,0.814115121,1.145267893,0.865340043
2011-01-17,0.783478057,1.10951424,0.833416033
2011-01-18,0.781710647,1.100671926,0.832677716
2011-01-19,0.793614285,1.157185734,0.846740822
2011-01-20,0.781642258,1.083371958,0.831001555
2011-01-21,0.791632302,1.099134302,0.842073472
2011-01-24,0.780039895,1.107207623,0.834190594
2011-01-25,0.777320201,1.09836531,0.833592534
2011-01-26,0.787559773,1.146805615,0.845255901
2011-01-27,0.794020162,1.219850562,0.853379744
2011-01-28,0.791757501,1.237535009,0.856053231
2011-01-31,0.80156657,1.307119949,0.867680249
2011-02-01,0.799896851,1.307119949,0.865082923
2011-02-09,0.793598302,1.260986342,0.859728816
2011-02-10,0.805153198,1.337875791,0.87130485
2011-02-11,0.818004771,1.308273339,0.880108893
2011-02-14,0.831368992,1.438985303,0.894665521
2011-02-15,0.829363633,1.45244085,0.895809398
2011-02-16,0.836319436,1.489732226,0.902215065
2011-02-17,0.836847794,1.50511022,0.902641659
2011-02-18,0.830238015,1.426298405,0.895482883
2011-02-21,0.845919803,1.449749737,0.912625193
2011-02-22,0.832217768,1.358635847,0.894178555
2011-02-23,0.833394682,1.358251368,0.89815018
2011-02-24,0.837010939,1.379395904,0.903374363
2011-02-25,0.839283005,1.387853574,0.906461749
2011-02-28,0.842782271,1.412842695,0.91128205
2011-03-01,0.854751526,1.412842695,0.921087772
2011-03-02,0.855189151,1.361711129,0.921204478
2011-03-03,0.845545565,1.310964125,0.913090339
2011-03-04,0.856097782,1.351331175,0.922480482
2011-03-07,0.868759137,1.351331175,0.936333516
2011-03-08,0.868100959,1.382086869,0.938402492
2011-03-09,0.86583944,1.378242285,0.936106084
2011-03-10,0.855121088,1.328648671,0.924093018
2011-03-11,0.845448092,1.314808628,0.916110639
2011-03-14,0.847579574,1.287897289,0.921471984
2011-03-15,0.841072921,1.287897289,0.917236315
2011-03-16,0.846652949,1.337490984,0.92373456
2011-03-17,0.852251079,1.292510522,0.932102148
2011-03-18,0.852385465,1.304812842,0.934145317
2011-03-21,0.846839578,1.298661723,0.926017173
